,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_weight[19, 21]",0.989,0.467,0.256,1.81,0.012,0.014,1627.325,1436.312,1.002
"K_uu_weight[19, 22]",0.961,0.458,0.265,1.781,0.011,0.013,1610.061,1414.322,1.002
"K_uu_weight[19, 23]",0.923,0.447,0.284,1.756,0.011,0.013,1583.6,1401.527,1.002
"K_uu_weight[19, 24]",0.878,0.433,0.221,1.635,0.011,0.013,1552.546,1405.235,1.002
"K_uu_weight[19, 25]",0.825,0.417,0.218,1.574,0.011,0.013,1509.799,1448.679,1.002
"K_uu_weight[19, 26]",0.768,0.4,0.185,1.478,0.01,0.012,1465.23,1366.363,1.002
"K_uu_weight[19, 27]",0.707,0.381,0.18,1.415,0.01,0.012,1400.749,1407.779,1.002
"K_uu_weight[19, 28]",0.645,0.361,0.15,1.319,0.01,0.011,1339.708,1281.648,1.002
"K_uu_weight[19, 29]",0.583,0.341,0.119,1.218,0.009,0.011,1277.275,1343.374,1.002
"K_uu_weight[19, 30]",0.522,0.319,0.079,1.112,0.009,0.01,1222.211,1401.157,1.002
"K_uu_weight[19, 31]",0.463,0.297,0.064,1.018,0.008,0.01,1179.261,1340.347,1.002
"K_uu_weight[19, 32]",0.407,0.275,0.035,0.905,0.008,0.009,1139.751,1252.356,1.002
"K_uu_weight[19, 33]",0.355,0.253,0.014,0.797,0.007,0.009,1105.579,1237.821,1.002
"K_uu_weight[19, 34]",0.307,0.231,0.008,0.702,0.006,0.008,1083.731,1254.106,1.002
"K_uu_weight[19, 35]",0.264,0.21,0.004,0.619,0.006,0.008,1063.941,1084.528,1.002
"K_uu_weight[19, 36]",0.225,0.189,0.001,0.538,0.005,0.007,1051.586,997.256,1.002
"K_uu_weight[19, 37]",0.19,0.169,0.001,0.471,0.005,0.007,1036.417,935.144,1.002
